id,canonical_food_id,cultivar_name,synonyms,structured_seasons,nutrition_override,notes,created_at,updated_at
52,1551,Roma,"[""Tomate Roma"",""Roma VF""]",,,"Variété italienne à chair ferme, idéale pour les sauces et conserves",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
53,1551,Cœur de Bœuf,"[""Coeur de Boeuf"",""Cuor di Bue""]",,,"Grosse tomate charnue à faible teneur en graines, excellente en salade",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
54,1551,Green Zebra,"[""Zèbre Verte""]",,,"Tomate verte rayée à maturité, saveur acidulée et fruitée",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
55,1551,Noire de Crimée,"[""Black Krim"",""Crimean Black""]",,,"Tomate ancienne russe, chair rouge-brun, saveur complexe et sucrée",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
56,1551,San Marzano,"[""San Marzano DOP""]",,,"Variété italienne allongée, référence pour la sauce tomate napolitaine",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
57,1551,Ananas,"[""Pineapple""]",,,"Grosse tomate bicolore jaune-rouge, saveur douce et fruitée",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
58,1551,Montfavet,,,,"Variété française résistante, productive et précoce",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
59,1551,Cornue des Andes,"[""Andean Cornue""]",,,"Forme allongée caractéristique, peu de graines, chair dense",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
60,1001,Golden Delicious,"[""Golden""]","{""available"":[8,9,10,11,12,1,2,3,4]}",,"Pomme jaune-dorée, sucrée et croquante, excellente conservation",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
61,1001,Granny Smith,,"{""available"":[9,10,11,12,1,2,3,4,5]}",,"Pomme verte acidulée, origine australienne, très croquante",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
62,1001,Gala,,"{""available"":[8,9,10,11,12,1,2]}",,"Pomme rouge-orangé striée, sucrée et juteuse, croissance rapide",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
63,1001,Fuji,,"{""available"":[10,11,12,1,2,3,4]}",,"Pomme japonaise très sucrée, croquante, excellente conservation",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
64,1001,Pink Lady,"[""Cripps Pink""]","{""available"":[10,11,12,1,2,3,4,5]}",,"Pomme rose-rouge, équilibre sucre-acidité, marque commerciale protégée",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
65,1001,Reinette Grise du Canada,"[""Reinette du Canada""]","{""available"":[10,11,12,1,2,3]}",,"Pomme rustique ancienne, peau grise-brune, excellente pour la cuisson",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
66,1001,Cox Orange Pippin,"[""Cox Orange""]","{""available"":[9,10,11,12]}",,"Pomme anglaise aromatique, saveur complexe, conservation moyenne",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
67,1001,Braeburn,,"{""available"":[10,11,12,1,2,3,4]}",,"Pomme néo-zélandaise croquante, bon équilibre sucre-acidité",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
68,1302,Charlotte,,,,"Pomme de terre à chair ferme, excellente en salade et vapeur",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
69,1302,Bintje,,,,"Variété néerlandaise farineuse, idéale pour frites et purée",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
70,1302,Ratte,"[""Ratte du Touquet"",""La Ratte""]",,,"Petite pomme de terre allongée, chair ferme et goût de noisette",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
71,1302,Mona Lisa,,,,"Chair ferme, polyvalente, bonne résistance aux maladies",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
72,1302,Roseval,,,,"Peau et chair rosées, texture fondante, excellente en salade",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
73,1302,Vitelotte,"[""Vitelotte Noire"",""Truffe de Chine""]",,"{""anthocyanins"":{""note"":""Riche en anthocyanes""},""carbohydrates"":{""unit"":""g"",""value"":18}}","Chair violet foncé, variété ancienne, riche en antioxydants",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
74,1302,Agata,,,,"Précoce, chair ferme, bonne polyvalence culinaire",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
75,1302,Amandine,,,,"Chair ferme, goût subtil, excellente à la vapeur",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
76,1301,Nantaise,"[""Carotte de Nantes""]",,,"Carotte demi-longue, cylindrique, sucrée et croquante",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
77,1301,Touchon,,,,"Variété précoce, racine lisse sans cœur dur",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
78,1301,Chantenay,"[""Chantenay à Cœur Rouge""]",,,"Carotte courte et conique, adaptée aux sols lourds",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
79,1301,Purple Haze,"[""Haze""]",,"{""color"":""violet extérieur, orange intérieur"",""carotenoids"":{""note"":""Riche en anthocyanes""}}","Carotte violette à cœur orange, saveur douce et épicée",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
80,1301,Atomic Red,,,"{""color"":""rouge"",""lycopene"":{""note"":""Teneur élevée en lycopène""}}","Carotte rouge, teneur exceptionnelle en lycopène",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
81,1301,Jaune du Doubs,,,"{""color"":""jaune""}","Variété ancienne jaune, saveur douce",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
82,1401,Batavia Blonde,"[""Batavia""]",,,"Laitue pommée croquante, feuilles ondulées blond-vert",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
83,1401,Batavia Rouge,"[""Batavia Grenadine""]",,,"Feuilles bordeaux, très décorative, résistante à la chaleur",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
84,1401,Lollo Rossa,,,,"Laitue à couper italienne, feuilles frisées rouge-bordeaux",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
85,1401,Lollo Bionda,,,,"Version blonde de la Lollo, feuilles très frisées vert clair",2025-10-03 13:56:34.934502+00,2025-10-03 13:56:34.934502+00
