id,import_id,name,timing,ingredients,macros_per_100g,rendement,portions,reheat,instructions,cook_date,portions_total,conservation,keeps_days,freezable
49,9,Rougail saucisses + lentilles,15min / 45min,400g saucisses porc · 200g lentilles cuites · 400g passata · 150g oignon · 10g ail · 15g gingembre · 20g concentré tomate · 10ml huile,165 kcal | 7.4P | 7.4G | 11.5L | 1.7F,1050g,Julien: 340g — Zoé: 270g,Micro-ondes 3-4min,Avec semoule et carottes râpées,,,,,
50,9,Poulet basquaise,15min / 50min,600g cuisses poulet · 250g poivrons conserve · 350g passata · 150g oignon · 10g ail · 15ml huile,121 kcal | 11.2P | 3.7G | 6.7L | 1F,1150g,Julien: 370g — Zoé: 290g,Micro-ondes 3-4min,En gratin PDT + emmental,,,,,
51,9,Bœuf stroganoff,20min / 35min,500g bœuf haché 5% · 300g champignons · 150g oignon · 80g crème 15% · 15g moutarde · 10ml huile,113 kcal | 13.3P | 2G | 5.3L | 0.6F,870g,Julien: 330g — Zoé: 260g,Micro-ondes 3-4min,En gratin PDT + emmental,,,,,
52,9,Butter chicken,20min / 40min,550g poulet · 350g passata · 100g lait coco · 150g oignon · 15g beurre · 40g crème · 10g ail · 10g curry · 15g concentré tomate,119 kcal | 12.7P | 4.2G | 5.4L | 1.1F,1050g,Julien: 350g — Zoé: 280g,Micro-ondes 3-4min,Avec naan et riz,,,,,
53,9,Chili con carne,15min / 50min,500g bœuf haché 5% · 250g haricots rouges · 400g passata · 150g oignon · 150g poivrons conserve · 20g concentré tomate · 10g ail · 10ml huile,103 kcal | 10.5P | 6.2G | 3.1L | 2.1F,1300g,Julien: 380g — Zoé: 300g,Micro-ondes 3-4min,En burrito bowl avec riz et guacamole,,,,,
54,9,Émincé porc moutarde-champignons,20min / 30min,550g filet porc · 300g champignons · 120g oignon · 100g crème 15% · 25g moutarde · 10ml huile,110 kcal | 14.2P | 1.8G | 4.6L | 0.6F,940g,Julien: 340g — Zoé: 270g,Micro-ondes 3-4min,Avec pâtes complètes et mâche,,,,,
55,10,Rougail saucisses + lentilles,15min / 45min,400g saucisses porc · 200g lentilles cuites · 400g passata · 150g oignon · 10g ail · 15g gingembre · 20g concentré tomate · 10ml huile,165 kcal | 7.4P | 7.4G | 11.5L | 1.7F,1050g,Julien: 340g — Zoé: 270g,Micro-ondes 3-4min,Avec semoule et carottes râpées,,,,,
56,10,Poulet basquaise,15min / 50min,600g cuisses poulet · 250g poivrons conserve · 350g passata · 150g oignon · 10g ail · 15ml huile,121 kcal | 11.2P | 3.7G | 6.7L | 1F,1150g,Julien: 370g — Zoé: 290g,Micro-ondes 3-4min,En gratin PDT + emmental,,,,,
57,10,Bœuf stroganoff,20min / 35min,500g bœuf haché 5% · 300g champignons · 150g oignon · 80g crème 15% · 15g moutarde · 10ml huile,113 kcal | 13.3P | 2G | 5.3L | 0.6F,870g,Julien: 330g — Zoé: 260g,Micro-ondes 3-4min,En gratin PDT + emmental,,,,,
58,10,Butter chicken,20min / 40min,550g poulet · 350g passata · 100g lait coco · 150g oignon · 15g beurre · 40g crème · 10g ail · 10g curry · 15g concentré tomate,119 kcal | 12.7P | 4.2G | 5.4L | 1.1F,1050g,Julien: 350g — Zoé: 280g,Micro-ondes 3-4min,Avec naan et riz,,,,,
59,10,Chili con carne,15min / 50min,500g bœuf haché 5% · 250g haricots rouges · 400g passata · 150g oignon · 150g poivrons conserve · 20g concentré tomate · 10g ail · 10ml huile,103 kcal | 10.5P | 6.2G | 3.1L | 2.1F,1300g,Julien: 380g — Zoé: 300g,Micro-ondes 3-4min,En burrito bowl avec riz et guacamole,,,,,
60,10,Émincé porc moutarde-champignons,20min / 30min,550g filet porc · 300g champignons · 120g oignon · 100g crème 15% · 25g moutarde · 10ml huile,110 kcal | 14.2P | 1.8G | 4.6L | 0.6F,940g,Julien: 340g — Zoé: 270g,Micro-ondes 3-4min,Avec pâtes complètes et mâche,,,,,
61,11,Rougail saucisses + lentilles,15min / 45min,400g saucisses porc · 200g lentilles cuites · 400g passata · 150g oignon · 10g ail · 15g gingembre · 20g concentré tomate · 10ml huile,165 kcal | 7.4P | 7.4G | 11.5L | 1.7F,1050g,Julien: 340g — Zoé: 270g,Micro-ondes 3-4min,Avec semoule et carottes râpées,,,,,
62,11,Poulet basquaise,15min / 50min,600g cuisses poulet · 250g poivrons conserve · 350g passata · 150g oignon · 10g ail · 15ml huile,121 kcal | 11.2P | 3.7G | 6.7L | 1F,1150g,Julien: 370g — Zoé: 290g,Micro-ondes 3-4min,En gratin PDT + emmental,,,,,
63,11,Bœuf stroganoff,20min / 35min,500g bœuf haché 5% · 300g champignons · 150g oignon · 80g crème 15% · 15g moutarde · 10ml huile,113 kcal | 13.3P | 2G | 5.3L | 0.6F,870g,Julien: 330g — Zoé: 260g,Micro-ondes 3-4min,En gratin PDT + emmental,,,,,
64,11,Butter chicken,20min / 40min,550g poulet · 350g passata · 100g lait coco · 150g oignon · 15g beurre · 40g crème · 10g ail · 10g curry · 15g concentré tomate,119 kcal | 12.7P | 4.2G | 5.4L | 1.1F,1050g,Julien: 350g — Zoé: 280g,Micro-ondes 3-4min,Avec naan et riz,,,,,
65,11,Chili con carne,15min / 50min,500g bœuf haché 5% · 250g haricots rouges · 400g passata · 150g oignon · 150g poivrons conserve · 20g concentré tomate · 10g ail · 10ml huile,103 kcal | 10.5P | 6.2G | 3.1L | 2.1F,1300g,Julien: 380g — Zoé: 300g,Micro-ondes 3-4min,En burrito bowl avec riz et guacamole,,,,,
66,11,Émincé porc moutarde-champignons,20min / 30min,550g filet porc · 300g champignons · 120g oignon · 100g crème 15% · 25g moutarde · 10ml huile,110 kcal | 14.2P | 1.8G | 4.6L | 0.6F,940g,Julien: 340g — Zoé: 270g,Micro-ondes 3-4min,Avec pâtes complètes et mâche,,,,,
67,12,Rougail saucisses + lentilles,15min / 45min,400g saucisses porc · 200g lentilles cuites · 400g passata · 150g oignon · 10g ail · 15g gingembre · 20g concentré tomate · 10ml huile,165 kcal | 7.4P | 7.4G | 11.5L | 1.7F,1050g,Julien: 340g — Zoé: 270g,Micro-ondes 3-4min,Avec semoule et carottes râpées,,,,,
68,12,Poulet basquaise,15min / 50min,600g cuisses poulet · 250g poivrons conserve · 350g passata · 150g oignon · 10g ail · 15ml huile,121 kcal | 11.2P | 3.7G | 6.7L | 1F,1150g,Julien: 370g — Zoé: 290g,Micro-ondes 3-4min,En gratin PDT + emmental,,,,,
69,12,Bœuf stroganoff,20min / 35min,500g bœuf haché 5% · 300g champignons · 150g oignon · 80g crème 15% · 15g moutarde · 10ml huile,113 kcal | 13.3P | 2G | 5.3L | 0.6F,870g,Julien: 330g — Zoé: 260g,Micro-ondes 3-4min,En gratin PDT + emmental,,,,,
70,12,Butter chicken,20min / 40min,550g poulet · 350g passata · 100g lait coco · 150g oignon · 15g beurre · 40g crème · 10g ail · 10g curry · 15g concentré tomate,119 kcal | 12.7P | 4.2G | 5.4L | 1.1F,1050g,Julien: 350g — Zoé: 280g,Micro-ondes 3-4min,Avec naan et riz,,,,,
71,12,Chili con carne,15min / 50min,500g bœuf haché 5% · 250g haricots rouges · 400g passata · 150g oignon · 150g poivrons conserve · 20g concentré tomate · 10g ail · 10ml huile,103 kcal | 10.5P | 6.2G | 3.1L | 2.1F,1300g,Julien: 380g — Zoé: 300g,Micro-ondes 3-4min,En burrito bowl avec riz et guacamole,,,,,
72,12,Émincé porc moutarde-champignons,20min / 30min,550g filet porc · 300g champignons · 120g oignon · 100g crème 15% · 25g moutarde · 10ml huile,110 kcal | 14.2P | 1.8G | 4.6L | 0.6F,940g,Julien: 340g — Zoé: 270g,Micro-ondes 3-4min,Avec pâtes complètes et mâche,,,,,
73,13,Rougail saucisses + lentilles,15min / 45min,400g saucisses porc · 200g lentilles cuites · 400g passata · 150g oignon · 10g ail · 15g gingembre · 20g concentré tomate · 10ml huile,165 kcal | 7.4P | 7.4G | 11.5L | 1.7F,1050g,Julien: 340g — Zoé: 270g,Micro-ondes 3-4min,Avec semoule et carottes râpées,,,,,
74,13,Poulet basquaise,15min / 50min,600g cuisses poulet · 250g poivrons conserve · 350g passata · 150g oignon · 10g ail · 15ml huile,121 kcal | 11.2P | 3.7G | 6.7L | 1F,1150g,Julien: 370g — Zoé: 290g,Micro-ondes 3-4min,En gratin PDT + emmental,,,,,
75,13,Bœuf stroganoff,20min / 35min,500g bœuf haché 5% · 300g champignons · 150g oignon · 80g crème 15% · 15g moutarde · 10ml huile,113 kcal | 13.3P | 2G | 5.3L | 0.6F,870g,Julien: 330g — Zoé: 260g,Micro-ondes 3-4min,En gratin PDT + emmental,,,,,
76,13,Butter chicken,20min / 40min,550g poulet · 350g passata · 100g lait coco · 150g oignon · 15g beurre · 40g crème · 10g ail · 10g curry · 15g concentré tomate,119 kcal | 12.7P | 4.2G | 5.4L | 1.1F,1050g,Julien: 350g — Zoé: 280g,Micro-ondes 3-4min,Avec naan et riz,,,,,
77,13,Chili con carne,15min / 50min,500g bœuf haché 5% · 250g haricots rouges · 400g passata · 150g oignon · 150g poivrons conserve · 20g concentré tomate · 10g ail · 10ml huile,103 kcal | 10.5P | 6.2G | 3.1L | 2.1F,1300g,Julien: 380g — Zoé: 300g,Micro-ondes 3-4min,En burrito bowl avec riz et guacamole,,,,,
78,13,Émincé porc moutarde-champignons,20min / 30min,550g filet porc · 300g champignons · 120g oignon · 100g crème 15% · 25g moutarde · 10ml huile,110 kcal | 14.2P | 1.8G | 4.6L | 0.6F,940g,Julien: 340g — Zoé: 270g,Micro-ondes 3-4min,Avec pâtes complètes et mâche,,,,,
79,14,Rougail saucisses,15min / 40min,"800g saucisses créoles, 400g passata, 200g haricots rouges, oignons, ail, épices créoles, riz",145 kcal | 8P | 12G | 7L | 3F,1200g,Julien: 350g — Zoé: 280g,,En gratin avec PDT gratinées et gruyère,,,,,
80,14,Curry de pois chiches,25min / 40min,"400g pois chiches, 400ml lait coco, épinards, tomates, épices indiennes, oignons, ail, gingembre",126 kcal | 5P | 15G | 6L | 4F,1000g,Julien: 370g — Zoé: 300g,,En bol avec riz basmati et coriandre fraîche,,,,,
