id,name,description,prep_time_minutes,cook_time_minutes,servings,cooking_method,role,is_scalable_to_main,is_complete_meal,needs_side_dish
9401,Salade niçoise,"Salade provençale au thon, œufs, olives et anchois",25,10,4,cru,ENTREE,t,f,f
9402,Salade César,"Laitue romaine, croûtons, parmesan et sauce crémeuse",20,5,4,cru,ENTREE,t,f,f
9403,Salade grecque,"Concombre, tomates, feta, olives et origan",15,0,4,cru,ENTREE,t,f,f
9404,Salade thaï au bœuf,"Bœuf grillé sur lit de crudités, sauce citronnée",20,10,4,poêle,ENTREE,t,f,f
9405,Salade de lentilles,"Lentilles vertes tièdes, échalotes et vinaigrette",15,25,4,casserole,ENTREE,t,f,f
9406,Salade de chèvre chaud,"Mesclun, toasts de chèvre gratinés, miel et noix",15,10,4,four,ENTREE,t,f,f
9407,Fattoush,Salade libanaise au pain pita grillé et sumac,20,5,4,cru,ENTREE,t,f,f
9408,Salade Waldorf,"Pommes, céleri, noix et mayonnaise légère",20,0,4,cru,ENTREE,f,f,f
9409,Caprese,"Tomates, mozzarella di bufala, basilic et huile d'olive",10,0,4,cru,ENTREE,f,f,f
9410,Salade quinoa légumes,"Quinoa, légumes croquants et herbes fraîches",15,15,4,casserole,ENTREE,t,f,f
9411,Velouté de potimarron,Soupe onctueuse au potimarron et crème,15,30,4,casserole,ENTREE,t,f,f
9412,Minestrone,Soupe italienne aux légumes et pâtes,20,40,6,casserole,ENTREE,t,t,f
9413,Pho,Bouillon vietnamien au bœuf et nouilles de riz,30,180,4,mijotage,ENTREE,t,t,f
9414,Soupe miso,"Bouillon japonais au miso, tofu et algues",10,10,4,casserole,ENTREE,f,f,f
9415,Gaspacho,Soupe froide de tomates et poivrons,20,0,4,cru,ENTREE,t,f,f
9416,Soupe à l'oignon,"Oignons caramélisés, bouillon et gratin de fromage",20,45,4,four,ENTREE,t,f,f
9417,Harira,"Soupe marocaine aux lentilles, pois chiches et agneau",25,60,6,mijotage,ENTREE,t,t,f
9418,Tom Yum,Soupe thaï épicée aux crevettes et citronnelle,20,20,4,casserole,ENTREE,t,f,f
9419,Velouté butternut-coco,"Courge butternut, lait de coco et gingembre",15,30,4,casserole,ENTREE,t,f,f
9420,Soupe poireaux-pommes de terre,"Classique française, simple et réconfortante",15,30,4,casserole,ENTREE,t,f,f
9421,Tartare de saumon,"Saumon cru mariné, câpres et aneth",20,0,4,cru,ENTREE,t,f,f
9422,Tartare de bœuf,"Bœuf cru assaisonné, jaune d'œuf et condiments",20,0,4,cru,ENTREE,t,f,f
9423,Ceviche,Poisson cru mariné au citron vert et piment,25,0,4,cru,ENTREE,t,f,f
9424,Carpaccio de bœuf,"Fines tranches de bœuf cru, roquette et parmesan",15,0,4,cru,ENTREE,f,f,f
9425,Carpaccio de Saint-Jacques,"Saint-Jacques crues en fines lamelles, agrumes",20,0,4,cru,ENTREE,f,f,f
9426,Tartare de thon,Thon cru au sésame et sauce soja,15,0,4,cru,ENTREE,t,f,f
9427,Tartare de légumes,"Légumes crus finement coupés, vinaigrette acidulée",25,0,4,cru,ENTREE,f,f,f
9428,Sashimi,Assortiment de poissons crus à la japonaise,30,0,4,cru,ENTREE,t,f,f
9429,Tataki de thon,"Thon snacké, cœur cru, croûte de sésame",15,5,4,poêle,ENTREE,t,f,f
9430,Gravlax,Saumon mariné à l'aneth et baies roses,20,0,4,cru,ENTREE,t,f,f
9431,Œuf cocotte,"Œuf cuit au four en ramequin, crème et herbes",10,12,4,four,ENTREE,f,f,f
9432,Soufflé au fromage,Soufflé aérien au gruyère,20,25,4,four,ENTREE,f,f,f
9433,Brick chèvre-miel,"Feuille de brick croustillante, chèvre et miel",15,10,4,four,ENTREE,f,f,f
9434,Samossas,Beignets indiens farcis aux légumes épicés,30,15,4,friture,ENTREE,f,f,f
9435,Nems,Rouleaux vietnamiens frits au porc et crevettes,45,15,4,friture,ENTREE,f,f,f
9436,Tempura de légumes,Légumes en beignets légers à la japonaise,25,15,4,friture,ENTREE,f,f,f
9437,Accras de morue,Beignets antillais à la morue,30,15,4,friture,ENTREE,f,f,f
9438,Champignons farcis,Champignons garnis de farce aux herbes,20,20,4,four,ENTREE,f,f,f
9439,Feuilleté aux épinards,"Pâte feuilletée, épinards et feta",20,25,4,four,ENTREE,f,f,f
9440,Blinis au saumon,"Petites crêpes russes, saumon fumé et crème",20,15,4,poêle,ENTREE,f,f,f
9441,Bœuf bourguignon,"Ragoût de bœuf au vin rouge, champignons et lardons",30,180,6,mijotage,PLAT_PRINCIPAL,f,f,t
9442,Steak frites,Entrecôte poêlée et frites maison,15,20,4,poêle,PLAT_PRINCIPAL,f,t,f
9443,Tataki de bœuf,"Bœuf saisi, cœur cru, sauce ponzu",15,5,4,poêle,PLAT_PRINCIPAL,f,f,t
9444,Bò bún,Salade vietnamienne au bœuf grillé et vermicelles,30,15,4,poêle,PLAT_PRINCIPAL,f,t,f
9445,Chili con carne,"Ragoût texan au bœuf, haricots rouges et épices",20,90,6,mijotage,PLAT_PRINCIPAL,f,t,f
9446,Bibimbap,"Bol coréen au bœuf, légumes et œuf",30,20,4,poêle,PLAT_PRINCIPAL,f,t,f
9447,Carbonnade flamande,Bœuf braisé à la bière et pain d'épices,25,180,6,mijotage,PLAT_PRINCIPAL,f,f,t
9448,Bœuf Stroganoff,Émincé de bœuf à la crème et champignons,20,25,4,poêle,PLAT_PRINCIPAL,f,f,t
9449,Tacos carne asada,Tacos mexicains au bœuf grillé mariné,25,15,4,grill,PLAT_PRINCIPAL,f,t,f
9450,Pot-au-feu,Bouilli de bœuf aux légumes d'hiver,30,240,8,mijotage,PLAT_PRINCIPAL,f,t,f
9451,Poulet rôti,"Poulet entier rôti au four, jus de cuisson",15,75,4,four,PLAT_PRINCIPAL,f,f,t
9452,Coq au vin,"Poulet mijoté au vin rouge, lardons et champignons",30,120,6,mijotage,PLAT_PRINCIPAL,f,f,t
9453,Poulet tikka masala,"Poulet mariné, sauce tomate épicée et crème",25,30,4,poêle,PLAT_PRINCIPAL,f,f,t
9454,Tajine poulet citron-olives,Tajine marocain aux citrons confits,20,60,4,mijotage,PLAT_PRINCIPAL,f,t,f
9455,Pad thaï poulet,Nouilles de riz sautées au poulet et cacahuètes,25,15,4,wok,PLAT_PRINCIPAL,f,t,f
9456,Yakitori,"Brochettes de poulet grillées, sauce teriyaki",25,15,4,grill,PLAT_PRINCIPAL,f,f,t
9457,Escalope milanaise,Escalope panée à l'italienne,20,10,4,poêle,PLAT_PRINCIPAL,f,f,t
9458,Poulet basquaise,Poulet aux poivrons et tomates du Pays Basque,25,45,4,mijotage,PLAT_PRINCIPAL,f,t,f
9459,Poulet Kung Pao,"Poulet sauté au piment et cacahuètes, recette Sichuan",20,15,4,wok,PLAT_PRINCIPAL,f,f,t
9460,Cordon bleu maison,"Escalope farcie jambon-fromage, panée",30,20,4,poêle,PLAT_PRINCIPAL,f,f,t
9461,Pulled pork,"Épaule de porc effilochée, cuisson lente",20,360,8,four,PLAT_PRINCIPAL,f,t,f
9462,Travers de porc caramélisés,Ribs glacés au miel et sauce barbecue,15,120,4,four,PLAT_PRINCIPAL,f,f,t
9463,Tonkatsu,Côtelette de porc panée japonaise,20,15,4,friture,PLAT_PRINCIPAL,f,f,t
9464,Filet mignon à la moutarde,Filet de porc rôti en croûte de moutarde,15,35,4,four,PLAT_PRINCIPAL,f,f,t
9465,Porc au caramel vietnamien,Poitrine de porc braisée au caramel et nuoc-mâm,20,60,4,mijotage,PLAT_PRINCIPAL,f,f,t
9466,Char siu,Porc laqué cantonais au miel,20,45,4,four,PLAT_PRINCIPAL,f,f,t
9467,Côtes échine BBQ,Côtes de porc grillées sauce barbecue,15,25,4,grill,PLAT_PRINCIPAL,f,f,t
9468,Rôti de porc orloff,"Rôti farci aux oignons, champignons et béchamel",30,75,6,four,PLAT_PRINCIPAL,f,f,t
9469,Sauté de porc au basilic thaï,Porc émincé sauté au basilic et piment,15,10,4,wok,PLAT_PRINCIPAL,f,f,t
9470,Cassoulet,Ragoût du Sud-Ouest aux haricots et viandes confites,45,180,8,four,PLAT_PRINCIPAL,f,t,f
9471,Souris d'agneau braisée,Souris confite aux herbes de Provence,20,180,4,four,PLAT_PRINCIPAL,f,f,t
9472,Navarin d'agneau,Ragoût printanier aux petits légumes,30,90,6,mijotage,PLAT_PRINCIPAL,f,t,f
9473,Gigot de 7 heures,"Gigot confit longuement, fondant à la cuillère",20,420,8,four,PLAT_PRINCIPAL,f,f,t
