archetype_id,nutrition_id,reason,created_at,updated_at
204,5970,"Beurre doux - Transformation trop complexe, utilise code CIQUAL beurre direct",2026-02-03 12:33:59.398294+00,2026-02-03 12:33:59.398294+00
205,5039,Yaourt nature entier - Code CIQUAL yaourt entier spécifique,2026-02-03 12:33:59.398294+00,2026-02-03 12:33:59.398294+00
206,5042,"Yaourt nature 0% - Profil lipidique spécifique, code CIQUAL yaourt 0% MG",2026-02-03 12:33:59.398294+00,2026-02-03 12:33:59.398294+00
207,5040,"Yaourt nature brassé - Texture différente, code CIQUAL spécifique",2026-02-03 12:33:59.398294+00,2026-02-03 12:33:59.398294+00
199,5332,"Crème fraîche légère 15% MG - % MG spécifique, code CIQUAL crème 15% MG",2026-02-03 12:33:59.398294+00,2026-02-03 12:33:59.398294+00
535,4982,Sardine appertisée à l'huile : teneur en lipides et sodium significativement différente de la sardine crue,2026-06-10 07:32:25.391111+00,2026-06-10 07:32:25.391111+00
536,4809,"Maquereau en conserve : en l'absence d'entrée CIQUAL dédiée pour la conserve, référence au maquereau cru",2026-06-10 07:32:25.391111+00,2026-06-10 07:32:25.391111+00
543,4579,"Saucisson sec : viande de porc séchée et salée, profil lipidique et sodique radicalement différent du porc frais",2026-06-10 07:32:25.391111+00,2026-06-10 07:32:25.391111+00
544,4600,"Merguez crue : mélange bœuf/mouton épicé, teneur en graisses et sel différente du canonique agneau brut",2026-06-10 07:32:25.391111+00,2026-06-10 07:32:25.391111+00
545,4694,"Chorizo : saucisse sèche de porc épicée au paprika, profil calorique et sodique très différent du porc brut",2026-06-10 07:32:25.391111+00,2026-06-10 07:32:25.391111+00
546,6011,"Huile de tournesol : corps gras pur à 100% lipides, nutrition radicalement différente de la graine brute",2026-06-10 07:32:25.391111+00,2026-06-10 07:32:25.391111+00
547,5999,"Huile de colza : corps gras pur, enrichi en oméga-3 (acide alpha-linolénique), profil propre",2026-06-10 07:32:25.391111+00,2026-06-10 07:32:25.391111+00
548,6009,"Huile de sésame : corps gras pur torréfié, profil en acides gras spécifique (sésamol, sesamine)",2026-06-10 07:32:25.391111+00,2026-06-10 07:32:25.391111+00
549,6128,"Vinaigre balsamique : teneur en sucres élevée (moût de raisin concentré), calorique vs vinaigre ordinaire",2026-06-10 07:32:25.391111+00,2026-06-10 07:32:25.391111+00
550,6127,Vinaigre de cidre : acidité et profil minéral propre à la fermentation du cidre,2026-06-10 07:32:25.391111+00,2026-06-10 07:32:25.391111+00
552,4103,"Riz basmati cru : index glycémique plus bas que le riz blanc standard, profil glucidique distinct",2026-06-10 07:32:25.391111+00,2026-06-10 07:32:25.391111+00
