id,name,icon,color_hex,typical_storage,average_shelf_life_days,sort_priority
1,Fruits,🍎,#FF6B6B,fridge,7,50
2,Légumes,🥕,#4ECDC4,fridge,5,50
5,Céréales,🌾,#45B7D1,pantry,365,30
6,Légumineuses,🫘,#96CEB4,pantry,365,40
7,Produits laitiers,🥛,#FFEAA7,fridge,7,50
8,Viandes,🥩,#FD79A8,fridge,3,60
9,Poissons,🐟,#81ECEC,fridge,2,70
10,Épices,🌶️,#E17055,pantry,730,80
11,Huiles,🫒,#FDCB6E,pantry,365,90
12,Conserves,🥫,#A29BFE,pantry,730,100
3,Champignons,🍄,#8B4513,fridge,7,160
13,Noix et graines,🌰,#D4A574,pantry,180,140
14,Édulcorants,🍯,#F4C430,pantry,365,150
4,Œufs,🥚,#FFF3B0,pantry,28,130
