id,name,role
2,Overnight porridge aux graines de chia et fruits rouges,ENTREE
3,Porridge salé aux épinards feta et œuf mollet,PLAT_PRINCIPAL
6,Pudding de chia au lait de coco et coulis de mangue,DESSERT
7,Granola maison aux noix de pécan et sirop d'érable,ENTREE
8,Muesli Bircher aux pommes râpées et noisettes,ENTREE
9,Pancakes américains fluffy au sirop d'érable,DESSERT
10,Pancakes à la banane sans sucre ajouté,ENTREE
11,Pancakes salés au saumon fumé et aneth,PLAT_PRINCIPAL
12,Porridge d'avoine pommes et cannelle,PLAT_PRINCIPAL
27,Œuf poché sur toast d'avocat,ENTREE
29,Œufs au plat et bacon grillé English style,PLAT_PRINCIPAL
32,Yaourt grec miel et noix,PLAT_PRINCIPAL
36,Huevos Rotos œufs cassés sur frites et jambon Serrano,ACCOMPAGNEMENT
37,Pan con Tomate pain grillé à la tomate et ail,PLAT_PRINCIPAL
38,Shakshuka œufs pochés dans une sauce tomate épicée,PLAT_PRINCIPAL
39,Full English Breakfast complet,PLAT_PRINCIPAL
40,Œufs Bénédictine et sauce hollandaise,PLAT_PRINCIPAL
41,Tamagoyaki omelette roulée japonaise,PLAT_PRINCIPAL
42,Gaspacho Andalou traditionnel,PLAT_PRINCIPAL
43,Salmorejo de Cordoue et ses garnitures,PLAT_PRINCIPAL
45,Velouté froid de courgettes au basilic,ENTREE
57,Bò bún vietnamien au bœuf,PLAT_PRINCIPAL
58,Houmous de pois chiches maison,PLAT_PRINCIPAL
59,Baba Ganoush caviar d'aubergines fumées,PLAT_PRINCIPAL
60,Tzatziki grec au concombre et à l'aneth,PLAT_PRINCIPAL
61,Moutabal libanais,PLAT_PRINCIPAL
62,Tapenade d'olives noires de Provence,PLAT_PRINCIPAL
63,Guacamole maison et chips de maïs,PLAT_PRINCIPAL
64,Bruschetta à la tomate fraîche et basilic,ENTREE
65,Crostinis au chèvre et figues,PLAT_PRINCIPAL
66,Tartinade de thon et St Môret,PLAT_PRINCIPAL
67,Rillettes de saumon frais et fumé,PLAT_PRINCIPAL
69,Patatas bravas et leur sauce épicée,PLAT_PRINCIPAL
70,Croquetas de jamón croquettes de jambon,PLAT_PRINCIPAL
71,Pimientos de Padrón grillés,PLAT_PRINCIPAL
72,Gambas al ajillo crevettes à l'ail,PLAT_PRINCIPAL
73,Falafels de pois chiches sauce tahini,PLAT_PRINCIPAL
74,Samoussas aux légumes et épices,PLAT_PRINCIPAL
75,Nems au porc et leur sauce,PLAT_PRINCIPAL
76,Rouleaux de printemps aux crevettes,PLAT_PRINCIPAL
77,Accras de morue antillais,PLAT_PRINCIPAL
79,Arancini siciliens boules de risotto frites,ACCOMPAGNEMENT
81,Gressins italiens maison,PLAT_PRINCIPAL
82,Légumes grillés marinés à l'italienne antipasti,PLAT_PRINCIPAL
83,Artichauts à la romaine,PLAT_PRINCIPAL
84,Poivrons marinés à l'huile d'olive et à l'ail,PLAT_PRINCIPAL
85,Aubergines à la parmesane Melanzane alla parmigiana,PLAT_PRINCIPAL
86,Velouté de potimarron et châtaignes,ENTREE
87,Soupe à l'oignon gratinée,ENTREE
88,Crème de lentilles corail au lait de coco,DESSERT
89,Soupe de poireaux-pommes de terre,ENTREE
8775,Steak grillé,PLAT_PRINCIPAL
8776,Gâteau au yaourt,DESSERT
9377,Sauce béchamel,SAUCE
9378,Sauce hollandaise,SAUCE
9379,Sauce béarnaise,SAUCE
9380,Sauce au poivre,SAUCE
