id,name,role
2,Overnight porridge aux graines de chia et fruits rouges,ENTREE
3,Porridge salé aux épinards, feta et œuf mollet,PLAT_PRINCIPAL
6,Pudding de chia au lait de coco et coulis de mangue,DESSERT
7,Granola maison aux noix de pécan et sirop d'érable,ENTREE
8,Muesli Bircher aux pommes râpées et noisettes,ENTREE
9,Pancakes américains fluffy au sirop d'érable,DESSERT
10,Pancakes à la banane sans sucre ajouté,ENTREE
11,Pancakes salés au saumon fumé et aneth,PLAT_PRINCIPAL
12,Porridge d'avoine, pommes et cannelle,PLAT_PRINCIPAL
27,Œuf poché sur toast d'avocat,ENTREE
29,Œufs au plat et bacon grillé (English style),PLAT_PRINCIPAL
32,Yaourt grec, miel et noix,PLAT_PRINCIPAL
36,Huevos Rotos (œufs cassés sur frites et jambon Serrano),ACCOMPAGNEMENT
37,Pan con Tomate (pain grillé à la tomate et ail),PLAT_PRINCIPAL
38,Shakshuka (œufs pochés dans une sauce tomate épicée),PLAT_PRINCIPAL
39,Full English Breakfast complet,PLAT_PRINCIPAL
40,Œufs Bénédictine et sauce hollandaise,PLAT_PRINCIPAL
41,Tamagoyaki (omelette roulée japonaise),PLAT_PRINCIPAL
42,Gaspacho Andalou traditionnel,PLAT_PRINCIPAL
43,Salmorejo de Cordoue et ses garnitures,PLAT_PRINCIPAL
45,Velouté froid de courgettes au basilic,ENTREE
57,Bò bún vietnamien au bœuf,PLAT_PRINCIPAL
58,Houmous de pois chiches maison,PLAT_PRINCIPAL
59,Baba Ganoush (caviar d'aubergines fumées),PLAT_PRINCIPAL
60,Tzatziki grec au concombre et à l'aneth,PLAT_PRINCIPAL
61,Moutabal libanais,PLAT_PRINCIPAL
62,Tapenade d'olives noires de Provence,PLAT_PRINCIPAL
63,Guacamole maison et chips de maïs,PLAT_PRINCIPAL
64,Bruschetta à la tomate fraîche et basilic,ENTREE
65,Crostinis au chèvre et figues,PLAT_PRINCIPAL
66,Tartinade de thon et St Môret,PLAT_PRINCIPAL
67,Rillettes de saumon frais et fumé,PLAT_PRINCIPAL
69,Patatas bravas et leur sauce épicée,PLAT_PRINCIPAL
70,Croquetas de jamón (croquettes de jambon),PLAT_PRINCIPAL
71,Pimientos de Padrón grillés,PLAT_PRINCIPAL
72,Gambas al ajillo (crevettes à l'ail),PLAT_PRINCIPAL
73,Falafels de pois chiches, sauce tahini,PLAT_PRINCIPAL
74,Samoussas aux légumes et épices,PLAT_PRINCIPAL
75,Nems au porc et leur sauce,PLAT_PRINCIPAL
76,Rouleaux de printemps aux crevettes,PLAT_PRINCIPAL
77,Accras de morue antillais,PLAT_PRINCIPAL
79,Arancini siciliens (boules de risotto frites),ACCOMPAGNEMENT
81,Gressins italiens maison,PLAT_PRINCIPAL
82,Légumes grillés marinés à l'italienne (antipasti),PLAT_PRINCIPAL
83,Artichauts à la romaine,PLAT_PRINCIPAL
84,Poivrons marinés à l'huile d'olive et à l'ail,PLAT_PRINCIPAL
85,Aubergines à la parmesane (Melanzane alla parmigiana),PLAT_PRINCIPAL
86,Velouté de potimarron et châtaignes,ENTREE
87,Soupe à l'oignon gratinée,ENTREE
88,Crème de lentilles corail au lait de coco,DESSERT
89,Soupe de poireaux-pommes de terre,ENTREE
90,Velouté Dubarry (chou-fleur),ENTREE
91,Minestrone de légumes italiens,PLAT_PRINCIPAL
96,Harira marocaine (soupe de rupture du jeûne),ENTREE
97,Chorba algérienne,PLAT_PRINCIPAL
99,Feuilletés saucisse à la moutarde,PLAT_PRINCIPAL
102,Roulés de courgette au fromage frais,PLAT_PRINCIPAL
103,Blinis au saumon fumé et crème à l'aneth,DESSERT
104,Champignons farcis à l'ail et au persil,PLAT_PRINCIPAL
105,Tomates provençales au four,PLAT_PRINCIPAL
106,Tarte soleil au pesto et parmesan,DESSERT
107,Gougères au fromage,PLAT_PRINCIPAL
108,Cake salé aux olives et au jambon,DESSERT
109,Muffins salés au chorizo et poivron,DESSERT
110,Madeleines salées au chèvre et romarin,PLAT_PRINCIPAL
112,Tarte aux poireaux et lardons,DESSERT
113,Tarte à la tomate et à la moutarde,DESSERT
116,Flammenkueche alsacienne,PLAT_PRINCIPAL
120,Calzone (pizza soufflée),PLAT_PRINCIPAL
121,Poulet rôti du dimanche aux herbes de Provence,PLAT_PRINCIPAL
122,Poulet basquaise,PLAT_PRINCIPAL
123,Poulet à la crème et aux champignons,DESSERT
124,Poulet vallée d'Auge (au cidre et à la crème),DESSERT
125,Coq au vin,PLAT_PRINCIPAL
126,Waterzooi de poulet à la gantoise,PLAT_PRINCIPAL
127,Escalopes de poulet à la milanaise,PLAT_PRINCIPAL
128,Escalopes de poulet panées au citron,PLAT_PRINCIPAL
129,Saltimbocca de veau à la romaine (jambon de Parme, sauge),PLAT_PRINCIPAL
130,Piccata de veau au citron,PLAT_PRINCIPAL
131,Blanquette de veau à l'ancienne,PLAT_PRINCIPAL
132,Osso buco à la milanaise,PLAT_PRINCIPAL
133,Rôti de veau Orloff,PLAT_PRINCIPAL
134,Sauté de veau Marengo,PLAT_PRINCIPAL
135,Paupiettes de veau en sauce,PLAT_PRINCIPAL
136,Bœuf bourguignon,PLAT_PRINCIPAL
137,Daube de bœuf provençale,PLAT_PRINCIPAL
138,Carbonnade flamande,PLAT_PRINCIPAL
140,Hachis Parmentier,PLAT_PRINCIPAL
141,Steak frites, sauce au poivre,ACCOMPAGNEMENT
142,Entrecôte grillée, sauce béarnaise,PLAT_PRINCIPAL
145,Bœuf Stroganoff,PLAT_PRINCIPAL
146,Goulash de bœuf hongrois,PLAT_PRINCIPAL
147,Chili con carne,PLAT_PRINCIPAL
148,Boulettes de bœuf à la sauce tomate,PLAT_PRINCIPAL
149,Kefta de bœuf à la marocaine,PLAT_PRINCIPAL
150,Bœuf loc lac cambodgien,PLAT_PRINCIPAL
151,Bœuf sauté aux oignons,PLAT_PRINCIPAL
153,Bibimbap coréen au bœuf,PLAT_PRINCIPAL
154,Bulgogi (barbecue coréen),PLAT_PRINCIPAL
155,Gyudon japonais (bol de riz au bœuf),PLAT_PRINCIPAL
156,Rôti de porc à la moutarde,PLAT_PRINCIPAL
158,Sauté de porc au caramel,PLAT_PRINCIPAL
159,Porc à l'aigre-douce,PLAT_PRINCIPAL
160,Rougail saucisse réunionnais,PLAT_PRINCIPAL
161,Saucisses de Toulouse et purée maison,ACCOMPAGNEMENT
162,Travers de porc (ribs) sauce barbecue,PLAT_PRINCIPAL
163,Pulled pork (effiloché de porc),PLAT_PRINCIPAL
164,Porc Tonkatsu japonais (escalope panée),PLAT_PRINCIPAL
165,Jambon à l'os braisé au madère,PLAT_PRINCIPAL
166,Gigot d'agneau de sept heures,PLAT_PRINCIPAL
167,Navarin d'agneau printainier,PLAT_PRINCIPAL
170,Moussaka grecque,PLAT_PRINCIPAL
173,Côtelettes d'agneau grillées à l'ail,PLAT_PRINCIPAL
174,Shepherd's pie (hachis Parmentier d'agneau),PLAT_PRINCIPAL
175,Kefta d'agneau et semoule,PLAT_PRINCIPAL
176,Magret de canard, sauce au poivre vert,PLAT_PRINCIPAL
178,Canard laqué pékinois (version simplifiée),PLAT_PRINCIPAL
179,Parmentier de canard,PLAT_PRINCIPAL
180,Lapin à la moutarde,PLAT_PRINCIPAL
181,Lapin chasseur,PLAT_PRINCIPAL
185,Andouillette de Troyes, sauce moutarde,PLAT_PRINCIPAL
186,Boudin noir aux pommes,PLAT_PRINCIPAL
187,Saucisson de Lyon pistaché en brioche,PLAT_PRINCIPAL
188,Far breton (version salée aux pruneaux et lard),PLAT_PRINCIPAL
190,Galettes de sarrasin bretonnes,PLAT_PRINCIPAL
191,Moules marinières,PLAT_PRINCIPAL
192,Moules à la crème et aux frites,DESSERT
194,Moules à la provençale,PLAT_PRINCIPAL
195,Paella valenciana,PLAT_PRINCIPAL
196,Paella aux fruits de mer,PLAT_PRINCIPAL
197,Zarzuela de mariscos (cassolette de poissons espagnole),PLAT_PRINCIPAL
198,Marmitako (ragoût de thon basque),PLAT_PRINCIPAL
199,Fideuà (paella de vermicelles),PLAT_PRINCIPAL
200,Lotte à l'américaine,PLAT_PRINCIPAL
201,Bouillabaisse marseillaise,PLAT_PRINCIPAL
202,Bourride sétoise,PLAT_PRINCIPAL
203,Brandade de morue de Nîmes,PLAT_PRINCIPAL
204,Aïoli provençal et ses légumes,PLAT_PRINCIPAL
205,Pavé de saumon à l'unilatérale,PLAT_PRINCIPAL
